,number,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,scents_group
492,959,Parfums Gres,Cabotine,135.0,75.0,100,EDT,Women,Floral,"Cedarwood, Vanilla, Tonka Bean, Cybet, Musk And Amber","Rose, Tuberose, Ylang-Ylang, Ginger Lily, Hyacinth, Heliotrope, Freesia, Violet And Iris",4.8,AMLAQ,3.9,135,Floral
493,961,GIORGIO ARMANI,Si Passione EDP For Wo,630.0,235.45,100,EDP,Women,Floral,"Cedar,Vanilla,Patchouli","Rose,Jasmine,Heliotrope,Pineapple",5.0,Parfume-Stor,4.1,347,Floral
494,963,Dior,Sauvage Perf,640.0,326.4,100,EDT,Men,Floral,"Tonka Bean, Vanilla and Olibanum",Sandalwood,3.0,Parfume-Stor,4.1,75,Floral
495,971,BVLGARI,Petits Et Mamans,254.0,193.95,100,EDT,Women,Floral,"Iris, Vanilla, White Peach, Powdery Notes","Sunflower, Chamomile, Rose",4.8,noon,4.2,98.1K,Floral
496,972,Justcavalli,Just Cavalli,385.0,131.4,75,EDT,Women,Floral,Cuddly And Creamy Rosewood,Tahitian Tiare Flowers,4.6,Star.perfume,3.9,537,Floral
497,973,Jean Paul GAULTIER,Scandal,505.0,354.95,80,EDP,Women,Floral,"Vanilla, Musk, And Labdanum","Tiare Flower, Jasmine, And Orange Blossom",4.5,noon,4.2,98.1K,Floral
498,975,GUCCI,Bloom,695.0,325.65,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.6,noon,4.2,98.1K,Floral
500,977,GUCCI,Bloom Nettare Di Fiori,630.0,329.85,100,EDP,Women,Floral,"Patchoulie, Musk, Schijnhulst","Tuberose, Honeysuckle, Jasmine",4.3,noon,4.2,98.1K,Floral
501,978,Givenchy,L'interdit,680.0,195.5,80,EDP,Women,Floral,Patchouli and Vetiver,"Tuberose, Jasmine and Orange Blossom",2.3,Pinch Of Perfum,3.5,347,Floral
502,990,HUGO BOSS,Nuit,415.0,162.0,75,EDP,Women,Floral,"Sandalwood, Crystal Moss And Warm Woods","Violet, Jasmin And White Florals",4.8,AMLAQ,3.9,135,Floral
503,991,Elizabeth Taylor,White Diamonds,220.0,118.85,100,EDT,Women,Floral,"Oak Moss, Patchouli, Musk, Sandalwood and Amber","Violet, Rose, Jasmine and Ylang-Ylang,",4.3,noon,4.2,98.1K,Floral
504,995,BVLGARI,Petits Et Mamans,327.0,197.75,100,EDT,Women,Floral,Iris and Vanilla,White Peach,4.8,Tiffany,4.1,75,Floral
505,996,Roberto Cavalli,Paradiso Assoluto,515.0,139.0,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5.0,noon,4.2,98.1K,Floral
506,10,CERRUTI 1881,1881,335.0,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",4.3,AMLAQ,3.9,135,Fresh
