,number,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,scents_group
597,551,cacharel,Anais Anais Loriginal,157.1,157.1,50,EDT,Women,Fruity,"Vetiver, Moss, Sandalwood, Musk and Black Currant","Lily, Lily-Of-The-Valley, Rose, Jasmine and Ylang-Ylang",4.5,AMLAQ,3.9,135,Fruity
598,595,ANGEL SCHLESSER,Schlesser Essential,320.0,165.4,100,EDT,Men,Fruity,"Leather, Tonka Bean, Musk And Cedar","Cinnamon, Coffee And Violet Leaf",4.3,top langri,3.7,347,Fruity
599,649,Emper,Lady Presidente,118.0,60.15,80,EDP,Women,Fruity,"Coconut, Musk, Sandalwood","Lotus, Water Lily, Raspberry, Star Apple",5.0,Golen Dream,3.5,88,Fruity
600,665,LA PERLA,Divina,107.0,62.0,50,EDT,Women,Fruity,"Musk, Amber, Vanilla and Woody notes","Jasmine, African orange and Pink",4.5,GOLDEN,3.5,63,Fruity
601,667,DORALL COLLECTION,Green Secret,27.0,9.5,100,EDT,Men,Fruity,"Moss, Sandalwood, Coumarin","Ylang, Geranium, Jasmine",2.0,B.A.G,3.7,14.1K,Fruity
602,692,J.CASANOVA,Paris Vivaldi,90.0,90.0,100,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",3.0,Grass gulf,454.0,9,Fruity
603,720,Ferrari,Scuderia Red,245.0,97.6,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss and Vanilla","Jasmine, Geranium, Orris and Nutmeg",4.6,noon,4.2,98.1K,Fruity
604,725,Estee Lauder,Pleasures,285.0,169.9,100,EDP,Women,Fruity,"Cedar, Musk, Patchouli, Sandalwood","Jasmine, Lilac, Lily, Lily Of The Valley, Peony, Rose",4.6,noon,4.2,98.1K,Fruity
605,743,Calvin Klein,Sheer Beauty,345.0,104.05,100,EDT,Women,Fruity,"Musk, Sandalwood, Vanille","Jasmine, Peony, Lily",4.6,AMLAQ,3.9,135,Fruity
606,807,NINA RICCI,Premier Jour,300.0,136.45,100,EDP,Women,Fruity,"Sandalwood, Musk, Vanilla, Woodsy Notes","Orchid, Gardenia",4.7,noon,4.2,98.1K,Fruity
607,810,HUGO BOSS,Boss The Scent,535.0,155.0,100,EDP,Women,Fruity,Cacao,Osmanthus,4.6,hadayiq baris,3.8,122,Fruity
608,820,Ferrari,Scuderia Red,245.0,97.6,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss and Vanilla","Jasmine, Geranium, Orris and Nutmeg",4.6,noon,4.2,98.1K,Fruity
609,835,Calvin Klein,Sheer Beauty,345.0,104.05,100,EDT,Women,Fruity,"Musk, Sandalwood, Vanille","Jasmine, Peony, Lily",4.6,AMLAQ,3.9,135,Fruity
610,846,BURBERRY,Burberry Body Intense,435.0,152.45,60,EDP,Women,Fruity,"Cashmere Wood, Amber, Vanille, Musk","Rose, Sandalwood, Iris",4.6,noon,4.2,98.1K,Fruity
611,851,Ferrari,Man In Red,235.0,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",5.0,top langri,4.3,347,Fruity
612,893,BURBERRY,Burberry Body,499.0,164.35,85,EDP,Women,Fruity,"Woody Cashmeran, Creamy Vanilla, Amber And Musk.","Natural Rose Absolute, Iris And Warm Sandalwood.",4.8,perfumes--addresses,4.1,59,Fruity
613,909,Roberto Cavalli,Paradiso Azzuro,499.0,175.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7,AMLAQ,3.9,135,Fruity
614,910,Roberto Cavalli,Paradiso Azzurro,499.0,165.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7,Beauty Group,4.2,124,Fruity
615,914,BURBERRY,For Women EDP Natural Sp,378.0,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8,noon,4.2,98.1K,Fruity
616,915,NINA RICCI,Premier Jour,300.0,136.45,100,EDP,Women,Fruity,"Sandalwood, Musk, Vanilla, Woodsy Notes","Orchid, Gardenia",4.7,noon,4.2,98.1K,Fruity
617,918,HUGO BOSS,The Scent,535.0,155.0,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5,noon,4.2,98.1K,Fruity
618,928,Roberto Cavalli,Paradiso Azzuro,499.0,499.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7,garmid,3.7,135,Fruity
619,930,Roberto Cavalli,Paradiso Azzurro,499.0,499.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7,garmid,3.7,124,Fruity
620,933,BURBERRY,For Women EDP Natural Sp,378.0,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8,garmid,3.7,98,Fruity
621,955,BURBERRY,Burberry Body Intense,435.0,152.45,60,EDP,Women,Fruity,"Cashmere Wood, Amber, Vanille, Musk","Rose, Sandalwood, Iris",4.6,noon,4.2,98.1K,Fruity
622,962,Yves Saint Laurent,Kouros Silver,540.0,190.0,100,EDT,Men,Fruity,Amber and Woody Notes,Sage,4.5,Queen Beauty,3.5,5,Fruity
623,974,GUCCI,Bloom Aqua Di Fiori,515.0,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,Fruity
624,992,Marc Jacobs,Daisy Eau So Fresh,330.0,179.4,125,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",5.0,noon,4.2,98.1K,Fruity
625,997,Roberto Cavalli,Paradiso Azzurro,499.0,165.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7,Beauty Group,4.3,124,Fruity
626,999,BURBERRY,For Women EDP Natural Sp,378.0,153.75,100,EDT,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8,noon,4.2,98.1K,Fruity
627,6,HUGO BOSS,The Scent,220.0,220.0,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4.0,rich&light,43.0,4K,Oriental
628,33,Rasasi,Al Wisam Day,177.0,76.0,100,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",4.3,hadayiq baris,3.8,122,Oriental
629,112,ANGEL SCHLESSER,Essential,287.0,103.95,100,EDP,Women,Oriental,"Sandal Wood, Musk And Vetiver","Peony, Violet, Freesia And Bulgarian Rose",4.6,noon,4.2,98.1K,Oriental
630,122,CHOPARD,Wish,182.0,96.0,75,EDP,Women,Oriental,"Patchouli, Caramel, Amber, Sandalwood, Vanilla","Honey, Milk, Lily Of The Valley, Orchid, Violet, Jasmine, Heliotrope, Osmanthus, and Magnolia",4.8,Dior Fragrances,3.9,69,Oriental
631,166,CHOPARD,Happy Spirit Forever,440.0,98.1,75,EDP,Women,Oriental,Patchouli And Amber,"Rosemary, Jasmine And Orange Blossom",4.9,AMLAQ,3.9,135,Oriental
632,188,BURBERRY,Weekend,197.0,160.0,100,EDP,Women,Oriental,"Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen and Blue Hyacinth","Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen, Blue Hyacinth",4.6,AMLAQ,3.9,135,Oriental
633,250,CARTIER,Pasha Edition Noir,478.0,198.55,100,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,4.6,AMLAQ,3.9,135,Oriental
634,295,HUGO BOSS,Deep Red,394.0,179.8,90,EDP,Women,Oriental,"Sandalwood, California Cedar, Vanilla, Musk","Freesia, Ginger, Ginger Flower, Hibiscus Seed, Freesia, Tuberose",3.0,noon,4.2,98.1K,Oriental
635,296,Calvin Klein,Escape,184.0,94.95,100,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",5.0,noon,4.2,98.1K,Oriental
636,352,Calvin Klein,Escape,184.0,94.95,100,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",5.0,noon,4.2,98.1K,Oriental
637,359,Estee Lauder,White Linen,354.0,197.5,60,EDP,Women,Oriental,"Vetiver, Sandalwood, Cedar, Amber, Benzoin, Tonka Bean, Honey, Oakmoss","Carnation, Iris, Jasmine, Hyacinth, Ylang-Ylang, Rose, Lily-Of-The-Valley, Violet, Lilac, Orchid, Orris",4.6,Precious Store,4.1,319,Oriental
638,394,MINI COLLECTION,Eaudemoiselle No.1154,16.0,16.0,25,EDP,Unisex,Oriental,rose,cinnamon,4.9,original,3.9,235,Oriental
639,428,COACH,New York Platinum,11.0,7.9,2,EDP,Men,Oriental,Patchouli and Vanilla Leather,Aromatic Accords,4.5,Princess of beauty,3.8,467,Oriental
640,447,LALIQUE,Le'Parfum,143.0,143.0,100,EDP,Women,Oriental,"Sandalwood, Tonka Bean, Patchouli and Vanilla",Jasmine and Heliotrope,4.4,Beautiful Live,412.0,7,Oriental
641,603,DIESEL,Plus Plus Feminine,99.0,41.0,75,EDT,Women,Oriental,"Musk, Sandalwood, Virginia Cedar, Amber, Nutmeg, Vanille And Orris Root","Jasmine, Coconut, Magnolia, Orchid, Lily, Cherry, Big Strawberry, Red Apple And Milk",4.4,KAYA,4.3,4K,Oriental
642,616,Emper,Tool Box,88.0,54.95,100,EDT,Men,Oriental,"Geranium, Amber, White Musks","Patchouli, Vetiver, Lavender",5.0,Golen Dream,3.8,88,Oriental
643,639,Mancera,Roses Vanille,390.0,229.0,120,EDP,Women,Oriental,"Sugar, Vanilla, Cedar, White Musk","Rose, Sugar",4.0,noon,4.2,98.1K,Oriental
644,677,HUGO BOSS,Natural Spray,595.0,140.0,75,EDP,Women,Oriental,"Apricot, Amber, Lemon Tree","Bulgarian Rose, Jasmine, Lily",4.0,Parisian Store,3.9,425,Oriental
645,695,Rasasi,Al Wisam Day,213.0,84.8,100,EDP,Men,Oriental,"Amber, Musk, Oakmoss, Agarwood (Oud)","Rose, Clary Sage, Sandalwood, Cedar",5.0,hadayiq baris,3.8,122,Oriental
646,723,Rasasi,Oud Al Misk,59.0,59.0,100,EDP,Women,Oriental,"Cedar, Vetiver, Patchouli, Sandalwood, Ambergris And Musk",Geranium And Jasmine,3.0,hawas,454.0,9,Oriental
647,744,Lattafa,Rouat Al Musk,68.0,38.95,100,EDP,Women,Oriental,Vanilla and Amber,"Jasmine, White Flowers and Sandalwood",4.8,noon,4.2,98.1K,Oriental
648,765,Arabian Oud,Sheikh Al Shuyukh,36.3,36.3,50,EDP,Women,Oriental,"Vetiver, Patchouli","Lavender, Sage, Rosemary",5.0,Bismat Eatar,3.7,66,Oriental
649,783,J.CASANOVA,Plaisir,148.0,75.75,100,EDP,Women,Oriental,Amber,Musk,4.8,top langri,4.2,347,Oriental
650,808,Dorall,Blue Princess,11.85,11.85,100,EDT,Men,Oriental,"Musk, Patchouli","Woody, Vetiver",5.0,hawas,454.0,9,Oriental
651,839,Lattafa,Rouat Al Musk,68.0,38.95,100,EDP,Women,Oriental,Vanilla and Amber,"Jasmine, White Flowers and Sandalwood",4.8,noon,4.2,98.1K,Oriental
652,847,Dior,Sauvage,532.0,208.25,100,EDT,Men,Oriental,"Ceder, ambroxan, labdanum","Lavender, elemi, geranium, sichuan pepper",4.0,diffrent,3.7,5,Oriental
653,883,Genie Collection,Premium,35.0,14.5,25,EDP,Unisex,Oriental,"Amber, Patchouli And Musk","Tuberose, Ylang-ylang And Jasmine",5.0,Genie collection,3.8,32,Oriental
654,890,J.CASANOVA,Plaisir,148.0,75.75,100,EDP,Women,Oriental,Amber,Musk,4.8,top langri,4.3,347,Oriental
655,980,Genie Collection,Premium,35.0,14.5,25,EDP,Unisex,Oriental,"Amber, Patchouli And Musk","Tuberose, Ylang-ylang And Jasmine",5.0,Genie collection,3.7,32,Oriental
656,993,CARTIER,Pasha Edition Noir,478.0,198.55,100,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,4.6,AMLAQ,3.9,135,Oriental
657,3,GUESS,Seductive Blue,290.0,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,3.0,noon,4.2,98.1K,Spicy
658,29,S.T.Dupont,S.T. Dupont,120.0,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",5.0,noon,4.2,98.1K,Spicy
659,36,S.T.Dupont,Passenger,182.0,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5.0,perfumes--addresses,4.4,59,Spicy
660,37,BURBERRY,Brit Rhythm Intense,370.0,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,Spicy
661,65,GUCCI,Guilty Absolute,552.0,332.3,90,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody Notes",4.2,Star.perfume,3.9,537,Spicy
662,69,UNITED COLORS OF BENETTON,Cold,51.0,27.95,100,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",4.0,top langri,4.2,347,Spicy
663,71,TOMMY HILFIGER,Tommy,340.0,129.0,100,EDT,Men,Spicy,"Amber, Cactus And Cotton","Cranberry, Rose And Apple",4.4,AMLAQ,3.9,135,Spicy
664,90,NARCISO RODRIGUEZ,Narciso Rodriguez,436.0,215.75,50,EDP,Women,Spicy,"Patchouli, Sandalwood","Amber, Musk",4.3,noon,4.2,98.1K,Spicy
665,93,MONTBLANC,Emblem Absolu,395.0,116.0,100,EDT,Men,Spicy,"Patchouli, Vetiver and Moss","Pink Pepper, Lavender, Fruits and Honey",4.7,Modon,3.9,537,Spicy
666,94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330.0,85.0,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin And Patchouli","Basil, Verbena And Lavender",4.8,Al-Najm,3.7,347,Spicy
667,97,TOMMY HILFIGER,Tommy Hilfiger,221.0,124.9,100,EDT,Men,Spicy,"Amber, Cactus And Cotton Flower","Cranberry, Rose And Granny Smith Apple",4.1,AMLAQ,3.9,135,Spicy
668,128,Yves Saint Laurent,Black Opium Nuit Blanche,620.0,266.9,90,EDP,Women,Spicy,"Vanilla Absolute, Sandalwood, White Musk","Orange Blossom Absolute, Black Opium Coffee",4.5,Al-Najm,3.7,347,Spicy
669,129,LACOSTE,Eau de Lacoste L. 12.12 Noir,330.0,85.0,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin And Patchouli","Basil, Verbena And Lavender",4.8,Al-Najm,3.7,347,Spicy
670,130,Calvin Klein,Euphoria Intense,440.0,99.0,100,EDT,Men,Spicy,"Cashmere Woods, Madagascar Vanilla, Burnt Amber and Australian Sandalwood","Black Basil, Sage, Cedar, Vetiver",4.2,Al-Najm,3.7,347,Spicy
671,137,Calvin Klein,Intense Euphoria,290.0,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K,Spicy
672,146,TOMMY HILFIGER,Tommy,340.0,130.0,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Plant Blossom","Apple, Cranberries, Rose",5.0,Faces,3.9,61,Spicy
673,152,GUESS,Seductive Homme,134.0,91.75,100,EDT,Men,Spicy,"Musk, Sandalwood, Patchouli, Amber","Vetiver, Violet Leaf, Orchid",4.5,Star.perfume,3.9,537,Spicy
674,155,Givenchy,Pour Homme,219.0,117.0,100,EDT,Men,Spicy,"Labdanum, Ceder","Vetiver, Lavender",4.4,Al-Najm,3.7,347,Spicy
675,156,Rasasi,Blue,36.95,36.95,100,EDT,Men,Spicy,"Amber, Woody","Geranium, Rose, Coriander, Pepper, Jasmine",5.0,hadayiq baris,3.8,122,Spicy
676,171,Calvin Klein,Intense Euphoria,290.0,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K,Spicy
677,172,MONTBLANC,Legend,445.0,214.55,200,EDT,Men,Spicy,Sandalwood and Tonka Bean,"Coumarin, Oak moss, Geranium, Rose, Red Apple and Dried Fruits",4.5,noon,4.2,98.1K,Spicy
678,173,Calvin Klein,Obsession,231.0,120.0,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3.0,noon,4.2,98.1K,Spicy
679,176,Kenzo,World Intense,500.0,149.75,75,EDP,Women,Spicy,Vanilla,"Jasmine, Peony",4.0,Star.perfume,3.9,537,Spicy
680,181,PRADA,Amber Intense,324.0,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4,Ryhana Perfume,4.2,25,Spicy
681,212,Lattafa,Rouat Al Oud,144.0,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3,noon,4.2,98.1K,Spicy
682,214,GUCCI,Oud,690.0,380.0,75,EDP,Women,Spicy,Natural Oud Oil And Patchouli,Bulgarian Rose And Orange Flower,4.2,AMLAQ,3.9,135,Spicy
683,217,AMOUAGE,Honour,1607.0,710.95,100,EDP,Women,Spicy,"Patchouli, Cedar, Vetiver, Frankincense, Musk, Tonka Bean","Geranium, Elemi, Nutmeg",5.0,rich&light,3.8,66,Spicy
684,219,Rasasi,Blue,53.0,35.0,100,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose and Pepper",4.3,hawas,4.2,9,Spicy
685,225,Calvin Klein,Obsession,231.0,120.0,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3.0,noon,4.2,98.1K,Spicy
686,227,Calvin Klein,One Shock,383.0,104.7,200,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",5.0,AMLAQ,3.9,135,Spicy
687,232,Calvin Klein,One Shock,176.0,106.0,200,EDT,Men,Spicy,"Musk, Patchouli, Amber, and Tobacco","Black Pepper, Lively Black Basil and Resinous Cardamom",5.0,Dior Fragrances,3.9,69,Spicy
688,233,BURBERRY,Brit Rhythm Intense,370.0,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,Spicy
689,236,CHOPARD,Rose Malaki,520.0,189.95,80,EDP,Women,Spicy,"Cedarwood, Patchouli and Vanilla","Rose Absolu, Rose Petal Accord and Smoky Leather",4.3,noon,4.2,98.1K,Spicy
690,241,Dolce & Gabbana,The One,299.0,190.0,100,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",4.7,hadayiq baris,3.8,122,Spicy
691,244,UNITED COLORS OF BENETTON,Cold,70.0,27.2,100,EDT,Men,Spicy,"Patchouli, Vetiver and White Musk","Coriander, Lavender and Geranium",4.4,Perfume World Store,3.6,27,Spicy
692,249,Dunhill,Edition,287.0,108.45,100,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar And Tonka Bean","Carnation, Geranium, Jasmine And Clary Sage",4.6,AMLAQ,3.9,135,Spicy
693,251,Givenchy,Blue Label,380.0,143.85,100,EDT,Men,Spicy,"Cedar, Olibanum and Vetiver","Cardamom, Lavender and Pepper",4.8,hadayiq baris,3.8,122,Spicy
694,272,Lattafa,Rouat Al Oud,144.0,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3,noon,4.2,98.1K,Spicy
695,280,jil sander,Jil Sander,310.0,175.0,125,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",5.0,hadayiq baris,3.8,122,Spicy
696,289,Calvin Klein,One Shock,177.0,102.0,200,EDT,Men,Spicy,"Amber, Patchouli, Woodsy Notes, Musk","Cardamom, Pepper, Basil, Osmanthus",4.7,AMLAQ,3.9,135,Spicy
697,346,Calvin Klein,Euphoria Intense,99.95,99.95,100,EDT,Men,Spicy,"Amber, Patchouli, Agarwood, Myrrh, Labdanun","Black Basil, Sage, Cedar, Vetiver",5.0,hadayiq baris,3.8,122,Spicy
698,356,MONTBLANC,Legend,342.0,108.5,100,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak Moss, Geranium, Rose, Apple, Dried Fruit",4.7,Perfume Ms,3.5,98,Spicy
699,363,Givenchy,Play Intense,438.0,259.9,50,EDT,Men,Spicy,"Vetyver,French Labdanum,Patchouli,Tonka Bean","Amyris,Pink Pepper,Coffee",4.4,Y,3.5,75,Spicy
700,373,Dolce & Gabbana,The One,441.0,130.95,100,EDT,Men,Spicy,"Amber, Moss, Musk, Vanilla, Vetiver","Genisteae, Jasmine, Lily, Lily Of The Valley, Orange Tree Blossom, Ylang-Ylang",4.5,Perfume Ms,3.6,111,Spicy
701,379,TRUSSARDI,Uomo,230.0,138.85,100,EDT,Men,Spicy,"Leather, Moss, Patchouli","Clary Sage, Violet",5.0,noon100% Genuine Product,4.2,98.1K,Spicy
702,399,CAROLINA HERRERA,Bad Boy,652.0,204.0,100,EDT,Men,Spicy,"Tonka Bean, Amberwood, Cacao","Cedar, Sage",5.0,The first fragrance,4.1,5,Spicy
703,403,S.T.Dupont,Dupont,221.0,83.9,100,EDT,Men,Spicy,"Heliotrope, Musk, Lignum Vitae And Amber","Essence Of Birch, Iris And Cedar Wood",4.4,noon,4.2,98.1K,Spicy
704,408,CARTIER,Declaration D'Un Soir,365.0,213.0,100,EDT,Men,Spicy,Sandalwood,Rose and Nutmeg,4.8,AMLAQ,3.9,135,Spicy
705,410,DAVIDOFF,Leather Blend,420.0,224.85,100,EDP,Unisex,Spicy,"Leather,Papyrus",Rose and Amber,5.0,Y,3.5,75,Spicy
706,412,Dolce & Gabbana,Intenso,496.0,200.35,125,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk and Amber","Tobacco, Hay, Moepel Accord, Clary Sage And Bran",4.5,noon100  % original genuine product,4.2,98.1K,Spicy
707,417,ROGER & GALLET,Open,143.0,51.5,100,EDT,Men,Spicy,"Tobacco, Patchouli And Vetiver",Sage And Thyme,4.8,Diorworld,3.9,135,Spicy
708,419,LACOSTE,L.12.12 Rouge,113.0,113.0,100,EDT,Men,Spicy,Acacia Wood,Rooibos Tea Extract (red Bush Tea),4.0,hadayiq baris,3.8,122,Spicy
709,433,Dior,Sauvage,430.0,208.25,100,EDT,Men,Spicy,"Cedar, Ambroxan","Geranium,Lavender,Elemi, Pink Pepper, Patchouli,Vetiver",5.0,Parfume-Stor,3.8,66,Spicy
710,442,GUESS,Marciano,150.0,80.7,100,EDT,Men,Spicy,Woody And Spicy,"Spicy, Lavenday And Sage",4.7,AMLAQ,3.9,135,Spicy
711,445,Rasasi,Hatem,129.0,69.25,75,EDP,Unisex,Spicy,"Woody, Aandal And Cedar Wood And Musk",Jasmine And Rose,5.0,Instant,3.7,44,Spicy
712,451,HUGO BOSS,The Scent,426.0,135.0,100,EDT,Men,Spicy,"Leather, Woody Notes","Lavender, Maninka",3.6,Perfume Ms,3.7,537,Spicy
713,459,Calvin Klein,CK Be,125.0,110.0,200,EDT,Unisex,Spicy,"Sandalwood, Amber, Cedar and Oakmoss","Green Grass, Magnolia, Orchid, Freesia, Peach and Jasmine",5.0,Abu Al Tayyeb Perfumes,4.2,7,Spicy
714,462,MONTBLANC,Legend,342.0,108.5,100,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak Moss, Geranium, Rose, Apple, Dried Fruit",4.7,Perfume Ms,4.1,98,Spicy
715,464,Dolce & Gabbana,Intenso,310.0,194.5,125,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk, Amber","Hay, Moepel Accord, Bran, Clary Sage",4.5,Abu Al Tayyeb Perfumes,3.9,537,Spicy
716,489,HUGO BOSS,Bottled Intense,426.0,157.85,100,EDP,Men,Spicy,"Sandalwood, Cedar, Vetiver, Vanilla","Geranium, Cloves, Cinnamon",4.5,AMLAQ,3.9,135,Spicy
717,490,Rasasi,Royale,43.25,43.25,75,EDT,Men,Spicy,Aromatic Scents,Delicate Musk Fragrance,4.0,neo lek,3.5,88,Spicy
718,494,Lattafa,Rouat Al Oud,99.0,45.0,100,EDP,Women,Spicy,"Cedarwood, Patchouli, Vetiver, Musk","Cardamom, Spicy Notes",5.0,Rihanna World Store,4.4,8,Spicy
719,497,Mont Blanc,Legend,220.0,141.95,100,EDT,Men,Spicy,"Sandalwood, Tonka, And Evernyl","Dried Fruit, Oakmoss Fused With Geranium, Rose And Apple",5.0,noon,4.2,98.1K,Spicy
720,502,BENTLEY,Intense,169.0,128.0,100,EDP,Men,Spicy,"Leather, Benzoin, Incense, Cedar and Patchouli","Clary Sage, African Geranium, Cinnamon, Rum and Wood",4.3,Parisian Store,3.9,425,Spicy
721,524,S.T.Dupont,Dupont,221.0,83.9,100,EDT,Men,Spicy,"Heliotrope, Musk, Lignum Vitae And Amber","Essence Of Birch, Iris And Cedar Wood",4.4,noon,4.2,98.1K,Spicy
722,534,PRADA,Amber Intense,324.0,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4,noon,4.2,98.1K,Spicy
723,540,GUESS,Dare,92.0,79.9,100,EDT,Men,Spicy,"Musk, Patchouli And Cedar Wood","Flowers Herb Shepherd, Cashmere and Jasmine",4.3,Noor,3.6,27,Spicy
724,566,JAGUAR,Classic Blue,290.0,67.0,100,EDT,Men,Spicy,"Sandalwood, Benzoin, White Musk","Ginger, Orange Blossom, Lotus",4.7,Beauty Gallery,4.2,59,Spicy
725,577,S.T.Dupont,Passenger,294.0,99.0,100,EDT,Men,Spicy,"Paraguayan Lignum Vitae, Indonesian Patchouli, Laotian Benzoin And Copper Accords","Indian Ginger,  Guatemalan Cardamom, Mauritanian Red Pepper And Lavender",5.0,London store,3.7,23,Spicy
726,596,Dunhill,Desire Extreme,230.0,114.75,100,EDT,Men,Spicy,"Amber, Musk",Evergreen Cypress,4.9,AMLAQ,3.9,135,Spicy
727,598,HUGO BOSS,Just Different,352.0,144.25,125,EDT,Men,Spicy,Cashmeran and Fir,Freesia and Basil,5.0,Perfume Ports,3.6,113,Spicy
728,606,MONTBLANC,Emblem ED,22.4,22.4,5,EDT,Men,Spicy,"Woodsy, Tonka Bean","Violet Leaf, Cinnamon",4.8,Star.perfume,3.9,537,Spicy
